County,precinct,candidate,round,result
Adair,5GF GREENFIELD,Biden,final,0.0
Adair,5GF GREENFIELD,Biden,SDE,0.0
Adair,5GF GREENFIELD,Bloomberg,first,0.0
Adair,5GF GREENFIELD,Bloomberg,final,0.0
Adair,5GF GREENFIELD,Bloomberg,SDE,0.0
Adair,5GF GREENFIELD,Buttigieg,first,10.0
Adair,5GF GREENFIELD,Buttigieg,final,12.0
Adair,5GF GREENFIELD,Buttigieg,SDE,0.1569
Adair,5GF GREENFIELD,Delaney,first,0.0
Adair,5GF GREENFIELD,Delaney,final,0.0
Adair,5GF GREENFIELD,Delaney,SDE,0.0
Adair,5GF GREENFIELD,Gabbard,first,0.0
Adair,5GF GREENFIELD,Gabbard,final,0.0
Adair,5GF GREENFIELD,Gabbard,SDE,0.0
Adair,5GF GREENFIELD,Klobuchar,first,26.0
Adair,5GF GREENFIELD,Klobuchar,final,32.0
Adair,5GF GREENFIELD,Klobuchar,SDE,0.3922
Adair,5GF GREENFIELD,Patrick,first,0.0
Adair,5GF GREENFIELD,Patrick,final,0.0
Adair,5GF GREENFIELD,Patrick,SDE,0.0
Adair,5GF GREENFIELD,Sanders,first,16.0
Adair,5GF GREENFIELD,Sanders,final,21.0
Adair,5GF GREENFIELD,Sanders,SDE,0.3137
Adair,5GF GREENFIELD,Steyer,first,0.0
Adair,5GF GREENFIELD,Steyer,final,0.0
Adair,5GF GREENFIELD,Steyer,SDE,0.0
Adair,5GF GREENFIELD,Warren,first,6.0
Adair,5GF GREENFIELD,Warren,final,0.0
Adair,5GF GREENFIELD,Warren,SDE,0.0
Adair,5GF GREENFIELD,Yang,first,12.0
Adair,5GF GREENFIELD,Yang,final,13.0
Adair,5GF GREENFIELD,Yang,SDE,0.1569
Adair,5GF GREENFIELD,Other,first,0.0
Adair,5GF GREENFIELD,Other,final,0.0
Adair,5GF GREENFIELD,Other,SDE,0.0
Adair,5GF GREENFIELD,Uncommitted,first,0.0
Adair,5GF GREENFIELD,Uncommitted,final,0.0
Adair,5GF GREENFIELD,Uncommitted,SDE,0.0
Adams,Adams 1,Bennet,first,0.0
Adams,Adams 1,Bennet,final,0.0
Adams,Adams 1,Bennet,SDE,0.0
Adams,Adams 1,Biden,first,5.0
Adams,Adams 1,Biden,final,5.0
Adams,Adams 1,Biden,SDE,0.0857
Adams,Adams 1,Bloomberg,first,0.0
Adams,Adams 1,Bloomberg,final,0.0
Adams,Adams 1,Bloomberg,SDE,0.0
Adams,Adams 1,Buttigieg,first,7.0
Adams,Adams 1,Buttigieg,final,7.0
Adams,Adams 1,Buttigieg,SDE,0.1714
Adams,Adams 1,Delaney,first,0.0
Adams,Adams 1,Delaney,final,0.0
Adams,Adams 1,Delaney,SDE,0.0
Adams,Adams 1,Gabbard,first,0.0
Adams,Adams 1,Gabbard,final,0.0
Adams,Adams 1,Gabbard,SDE,0.0
Adams,Adams 1,Klobuchar,first,5.0
Adams,Adams 1,Klobuchar,final,5.0
Adams,Adams 1,Klobuchar,SDE,0.1714
Adams,Adams 1,Patrick,first,0.0
Adams,Adams 1,Patrick,final,0.0
Adams,Adams 1,Patrick,SDE,0.0
Adams,Adams 1,Sanders,first,7.0
Adams,Adams 1,Sanders,final,7.0
Adams,Adams 1,Sanders,SDE,0.1714
Adams,Adams 1,Steyer,first,0.0
Adams,Adams 1,Steyer,final,0.0
Adams,Adams 1,Steyer,SDE,0.0
Adams,Adams 1,Warren,first,5.0
Adams,Adams 1,Warren,final,5.0
Adams,Adams 1,Warren,SDE,0.0857
Adams,Adams 1,Yang,first,0.0
Adams,Adams 1,Yang,final,0.0
Adams,Adams 1,Yang,SDE,0.0
Adams,Adams 1,Other,first,0.0
Adams,Adams 1,Other,final,0.0
Adams,Adams 1,Other,SDE,0.0
Adams,Adams 1,Uncommitted,first,0.0
Adams,Adams 1,Uncommitted,final,0.0
Adams,Adams 1,Uncommitted,SDE,0.0
Adams,Adams 5,Bennet,first,0.0
Adams,Adams 5,Bennet,final,0.0
Adams,Adams 5,Bennet,SDE,0.0
Adams,Adams 5,Biden,first,4.0
Adams,Adams 5,Biden,final,4.0
Adams,Adams 5,Biden,SDE,0.0857
Adams,Adams 5,Bloomberg,first,0.0
Adams,Adams 5,Bloomberg,final,0.0
Adams,Adams 5,Bloomberg,SDE,0.0
Adams,Adams 5,Buttigieg,first,5.0
Adams,Adams 5,Buttigieg,final,5.0
Adams,Adams 5,Buttigieg,SDE,0.1714
Adams,Adams 5,Delaney,first,0.0
Adams,Adams 5,Delaney,final,0.0
Adams,Adams 5,Delaney,SDE,0.0
Adams,Adams 5,Gabbard,first,0.0
Adams,Adams 5,Gabbard,final,0.0
Adams,Adams 5,Gabbard,SDE,0.0
Adams,Adams 5,Klobuchar,first,3.0
Adams,Adams 5,Klobuchar,final,3.0
Adams,Adams 5,Klobuchar,SDE,0.0857
Adams,Adams 5,Patrick,first,0.0
Adams,Adams 5,Patrick,final,0.0
Adams,Adams 5,Patrick,SDE,0.0
Adams,Adams 5,Sanders,first,3.0
Adams,Adams 5,Sanders,final,3.0
Adams,Adams 5,Sanders,SDE,0.0857
Adams,Adams 5,Steyer,first,0.0
Adams,Adams 5,Steyer,final,0.0
Adams,Adams 5,Steyer,SDE,0.0
Adams,Adams 5,Warren,first,0.0
Adams,Adams 5,Warren,final,0.0
Adams,Adams 5,Warren,SDE,0.0
Adams,Adams 5,Yang,first,0.0
Adams,Adams 5,Yang,final,0.0
Adams,Adams 5,Yang,SDE,0.0
Adams,Adams 5,Other,first,0.0
Adams,Adams 5,Other,final,0.0
Adams,Adams 5,Other,SDE,0.0
Adams,Adams 5,Uncommitted,first,0.0
Adams,Adams 5,Uncommitted,final,0.0
Adams,Adams 5,Uncommitted,SDE,0.0
Adams,Adams 3,Bennet,first,0.0
Adams,Adams 3,Bennet,final,0.0
Adams,Adams 3,Bennet,SDE,0.0
Adams,Adams 3,Biden,first,11.0
Adams,Adams 3,Biden,final,12.0
Adams,Adams 3,Biden,SDE,0.3429
Adams,Adams 3,Bloomberg,first,0.0
Adams,Adams 3,Bloomberg,final,0.0
Adams,Adams 3,Bloomberg,SDE,0.0
Adams,Adams 3,Buttigieg,first,0.0
Adams,Adams 3,Buttigieg,final,0.0
